theme_name,discussion_id,challenge,confidence_score,justification,multi_theme_mapped
Legal Document linked Barriers,21949,"All the members who came to Shiksha Chaupal participated and during the discussion, they got information from each other that they have not received TC from the school.",0.85,"The challenge mentions 'not received TC from the school' where TC (Transfer Certificate) is a legal document required for school enrollment and transitions, creating administrative barriers similar to Aadhaar card issues.",FALSE
Unknown/Unclear,6372,Lagwag children had no basis,0.6,The phrase 'Lagwag children had no basis' is unclear and cannot be reasonably interpreted as a specific educational barrier without additional context.,FALSE
Early Marriage,6372,Show the practice of child marriage,0.95,The statement explicitly mentions 'child marriage' which directly corresponds to early marriage as a barrier to girls' education.,FALSE
Parental Attitudes and Socio-Cultural Barriers,6372,The children are eager to study but the parents are not.,0.9,"The phrase 'parents are not' eager indicates parental attitudes and beliefs that discourage education, which is a core element of socio-cultural barriers.",FALSE
Early Marriage,6386,Prevention of child marriage.,0.95,"The statement directly references 'child marriage' which is the core focus of Theme 3, indicating early marriage as a barrier to education that needs to be prevented.",FALSE
Poverty and Economic Barriers,6386,"Due to poverty, parents are unable to educate their children.",1,"The statement explicitly mentions 'poverty' as the reason parents cannot educate their children, which directly aligns with Theme 1 describing how financial hardship creates barriers to schooling.",FALSE
Early Marriage,6434,pressure to marry at a young age,0.95,"The phrase 'pressure to marry at a young age' directly indicates early marriage as a barrier to education, which is a core element of Theme 3.",FALSE
Parental Attitudes and Socio-Cultural Barriers,6434,Forcing them to leave their studies and do household chores,0.9,"The statement describes children being forced to prioritize domestic work over education, reflecting parental attitudes and cultural norms that prioritize household roles, which aligns with Theme 5.",FALSE
Parental Attitudes and Socio-Cultural Barriers,6434,"The parents discussed that when the daughter goes to study, she gets married and goes away.",0.85,"This reflects parental beliefs that education for girls is unnecessary because they will eventually marry and leave, which is a socio-cultural barrier described in Theme 5.",FALSE
Distance and Accessibility Issues,6462,The community shared a challenge about the distance of the school being a barrier to education.,1,"The challenge explicitly mentions 'distance of the school being a barrier to education,' which directly aligns with physical accessibility issues preventing school attendance.",FALSE
Poverty and Economic Barriers,20978,"Due to poverty, girls are unable to go to school.",1,"The statement explicitly mentions 'poverty' as the reason preventing girls from attending school, which directly aligns with Theme 1 focusing on financial hardship as a barrier to education.",FALSE
